song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
Dance For Me (feat. NAV),0.123,0.526,0.557,0.00946,159.908,0.128,Chill
Slidin,0.382,0.706,0.774,0.00163,152.891,0.104,Party
DIRTY DIANA,0.439,0.636,0.799,0.0423,126.012,0.106,Party
Chicken Soup,0.469,0.778,0.7120000000000001,0.00365,139.976,0.127,Energetic
Risky,0.176,0.5720000000000001,0.6559999999999999,0.0228,159.843,0.1639999999999999,Chill
break da law,0.359,0.575,0.904,0.0493,141.039,0.256,Party
Gook,0.31,0.805,0.6679999999999999,0.161,150.02100000000002,0.139,Energetic
Pure Cocaine,0.107,0.487,0.964,0.0012699999999999,127.05,0.115,Party
Real in My Veins (feat. T-Shyne),0.233,0.632,0.635,0.000185,162.023,0.0615,Chill
Nolia (feat. Kevin Gates),0.3979999999999999,0.483,0.813,0.144,132.954,0.0991,Party
ONCE UPON A TIME (FREESTYLE),0.818,0.91,0.653,0.114,182.204,0.111,Happy
PEN,0.292,0.5589999999999999,0.851,0.306,126.02,0.108,Party
What You Want,0.0626,0.426,0.8059999999999999,0.023,143.805,0.133,Party
Analog Keys,0.449,0.715,0.71,0.251,159.95600000000002,0.289,Party
Purple Baguettes,0.391,0.436,0.7170000000000001,0.295,119.923,0.11,Chill
Demons and Angels (feat. Juice WRLD),0.183,0.55,0.81,0.0114,153.006,0.107,Party
Slow Motion,0.331,0.755,0.691,0.0563,179.954,0.261,Energetic
Dem Callin' (feat. Ramriddlz),0.662,0.721,0.578,0.0103,127.115,0.3289999999999999,Motivational
RIP Luv,0.0657,0.3989999999999999,0.63,0.105,183.016,0.2339999999999999,Sad
Story: No Title,0.0793,0.746,0.7559999999999999,0.236,207.956,0.0999,Party
Hurtin,0.157,0.422,0.804,0.0624,187.742,0.1369999999999999,Party
monster,0.2239999999999999,0.607,0.89,0.158,134.02200000000002,0.118,Party
Nightmare,0.127,0.405,0.7390000000000001,0.442,157.09,0.158,Party
Elimination,0.6990000000000001,0.517,0.755,0.754,129.02700000000002,0.127,Party
Mob Ties,0.491,0.575,0.754,0.045,172.018,0.276,Party
Gucci Snake,0.216,0.452,0.7559999999999999,0.181,155.053,0.196,Party
That's a Rack,0.258,0.432,0.852,0.0599,140.042,0.146,Party
BUSHY B INTERLUDE,0.642,0.615,0.64,0.0521,117.074,0.479,Motivational
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),0.153,0.506,0.8590000000000001,0.105,140.97299999999998,0.113,Party
Derek Fisher (feat. Lil Baby),0.706,0.562,0.759,0.293,145.139,0.0979,Party
Know Me,0.165,0.575,0.925,0.0238,142.047,0.105,Party
Lift Off,0.1989999999999999,0.6629999999999999,0.5429999999999999,0.524,167.65599999999998,0.142,Chill
Who Hurt You,0.0763,0.5870000000000001,0.411,0.239,178.032,0.0821,Chill
Many Men,0.281,0.7929999999999999,0.635,0.000647,155.188,0.113,Energetic
Molly,0.0971,0.479,0.741,0.0544,162.02,0.231,Party
CASH COW,0.29,0.722,0.733,0.0359,135.97,0.111,Party
out for the night - part 2,0.0789,0.632,0.593,0.0133,173.36900000000003,0.64,Chill
Messy,0.642,0.578,0.765,0.17,113.995,0.12,Chill
Mad,0.0396,0.321,0.7509999999999999,0.0559999999999999,139.987,0.145,Sad
No Opp Left Behind,0.26,0.703,0.823,0.0161,178.043,0.294,Party
Red Beam,0.1969999999999999,0.637,0.311,0.0821,161.856,0.11,Chill
Zits,0.6659999999999999,0.613,0.735,0.379,162.92,0.103,Party
Rockstar Chainz,0.271,0.517,0.867,0.0116,143.043,0.31,Party
Designer Talk,0.259,0.4429999999999999,0.873,0.0197,118.018,0.11,Chill
"%%%% (feat. Lucki, Deezy)",0.419,0.382,0.7559999999999999,0.2,142.05700000000002,0.122,Party
Red Bottoms,0.0397,0.84,0.524,0.00361,155.034,0.154,Chill
I Dont Care,0.504,0.767,0.828,0.134,132.0,0.119,Energetic
Fall,0.321,0.516,0.539,0.0123,162.13,0.11,Chill
TaleOfAGhost (Prod. The Virus and Antidote),0.301,0.736,0.401,0.104,200.072,0.198,Chill
Franch,0.29,0.461,0.848,0.0087599999999999,140.054,0.0937,Party
Glitch,0.0374,0.469,0.55,0.1159999999999999,140.06799999999998,0.5539999999999999,Chill
Hounds,0.0666,0.5,0.9,0.0158,140.012,0.1119999999999999,Party
Antisocial,0.11,0.625,0.6659999999999999,0.0472,145.035,0.0579999999999999,Chill
Death Metal,0.0399,0.575,0.787,0.064,210.106,0.138,Party
Las Ovejas Mueren,0.286,0.815,0.7290000000000001,0.0629,155.065,0.153,Energetic
