song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Rocket Ship,0.128,0.953,0.38,133.941,0.127,-4.941,0.261,0.00957,Sad
Trap (feat. Lil Baby),0.432,0.8809999999999999,0.742,116.997,0.156,-3.736,0.0535,0.14,Calm
Snow Globe (feat. NAV) - Remix,0.465,0.705,0.619,146.02700000000002,0.176,-5.862,0.085,0.143,Calm
1000,0.34,0.782,0.449,116.056,0.111,-10.708,0.364,0.268,Calm
Henny,0.266,0.643,0.82,153.102,0.1009999999999999,-6.281000000000001,0.174,0.186,Angry
Droptop in the Rain (feat. Tory Lanez),0.359,0.73,0.581,137.98,0.106,-5.832999999999999,0.0828,0.0295,Calm
Flexin,0.192,0.648,0.5429999999999999,159.92700000000002,0.1009999999999999,-9.082,0.213,0.126,Calm
HOOD,0.257,0.481,0.604,160.078,0.162,-6.299,0.377,0.149,Angry
For My Bros,0.635,0.738,0.581,157.967,0.1009999999999999,-6.776,0.217,0.28,Calm
Dope Game,0.07,0.84,0.539,140.016,0.124,-6.146,0.0965,0.0423,Calm
Every Season,0.5660000000000001,0.936,0.7040000000000001,130.02200000000002,0.104,-5.47,0.457,0.0632,Calm
SPEEDBOAT,0.81,0.925,0.628,120.021,0.358,-7.587000000000001,0.131,0.0604,Happy
No Heart,0.6779999999999999,0.906,0.444,140.063,0.173,-8.692,0.384,0.136,Calm
STARGAZING,0.0564,0.487,0.789,150.007,0.1889999999999999,-3.69,0.044,0.00947,Angry
Blue Faces,0.418,0.77,0.4589999999999999,146.908,0.0792,-6.255,0.0646,0.387,Calm
Codeine Crazy,0.185,0.745,0.617,125.98,0.389,-7.22,0.144,0.168,Angry
Who Shot Johnny?,0.326,0.887,0.627,127.108,0.109,-4.14,0.0468,0.0428,Angry
Rari (feat. Future),0.488,0.574,0.812,147.734,0.15,-4.181,0.396,0.00757,Calm
Days,0.175,0.6809999999999999,0.608,159.914,0.108,-8.302,0.0779,0.0745,Angry
Ridin Strikers,0.134,0.595,0.534,162.066,0.107,-8.747,0.318,0.0106,Calm
Swimming Pools (Drank),0.1889999999999999,0.5770000000000001,0.447,148.472,0.0899,-5.892,0.2769999999999999,0.00627,Calm
Lies About You (feat. Lil Durk),0.525,0.755,0.631,153.094,0.111,-7.9,0.152,0.0816,Calm
Day for Day,0.457,0.737,0.562,162.03,0.0727,-8.156,0.373,0.283,Calm
Neptun,0.616,0.701,0.662,132.418,0.109,-7.013999999999999,0.316,0.4029999999999999,Happy
MiAMi (feat. Gunna),0.357,0.674,0.862,160.07299999999998,0.113,-3.4,0.231,0.0189,Angry
Swervin (feat. 6ix9ine),0.434,0.581,0.662,186.046,0.111,-5.239,0.303,0.0153,Calm
12,0.552,0.747,0.557,149.965,0.103,-8.971,0.069,0.369,Calm
Hardly,0.205,0.595,0.645,134.941,0.165,-4.872,0.108,0.0866,Angry
Savage,0.5479999999999999,0.768,0.484,158.967,0.342,-9.1,0.3279999999999999,0.0816,Calm
SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],0.642,0.66,0.784,157.991,0.113,-7.696000000000001,0.285,0.0806,Happy
Glock In My Lap,0.2019999999999999,0.847,0.733,130.029,0.151,-6.439,0.16,0.0057399999999999,Angry
Richard Millie Plain,0.316,0.7440000000000001,0.674,134.02100000000002,0.128,-7.518,0.0641,0.356,Angry
I Get the Bag (feat. Migos),0.425,0.89,0.633,139.94799999999998,0.0993,-5.475,0.168,0.0232,Calm
Thought It Was a Drought,0.0487,0.861,0.4479999999999999,125.022,0.0902,-8.256,0.111,0.00761,Calm
ULT,0.233,0.772,0.7859999999999999,130.071,0.2019999999999999,-5.337000000000001,0.24,0.113,Angry
Love Sosa,0.211,0.772,0.413,131.965,0.111,-8.193,0.089,0.0361,Calm
F&N,0.3929999999999999,0.728,0.628,160.94,0.0735,-4.766,0.191,0.01,Angry
Remember Me,0.411,0.7829999999999999,0.621,147.97,0.0909,-7.053,0.0782,0.1689999999999999,Calm
Murder On My Mind,0.74,0.759,0.73,115.007,0.11,-7.985,0.0516,0.145,Happy
Tunnel Vision,0.231,0.497,0.489,171.85299999999998,0.122,-7.724,0.294,0.0576,Calm
Ready (feat. Gunna),0.129,0.7929999999999999,0.395,154.054,0.109,-5.577999999999999,0.385,0.2769999999999999,Sad
Life Goes On,0.387,0.716,0.541,139.97799999999998,0.115,-7.909,0.149,0.0021,Calm
Respect the Game,0.159,0.603,0.67,179.68400000000003,0.326,-4.809,0.25,0.0871,Angry
beibs in the trap,0.495,0.743,0.5710000000000001,119.054,0.291,-6.053999999999999,0.145,0.24,Calm
Underdog (Lil Baby & Gunna),0.497,0.7909999999999999,0.735,144.985,0.134,-4.763999999999999,0.16,0.0427,Calm
Crushed Up,0.544,0.7809999999999999,0.597,158.043,0.152,-6.794,0.23,0.0415,Calm
Dance For Me (feat. NAV),0.123,0.557,0.526,159.908,0.128,-9.499,0.3229999999999999,0.00946,Calm
Slidin,0.382,0.774,0.706,152.891,0.104,-6.494,0.355,0.00163,Angry
DIRTY DIANA,0.439,0.799,0.636,126.012,0.106,-8.113,0.0852,0.0423,Calm
Chicken Soup,0.469,0.7120000000000001,0.778,139.976,0.127,-6.738,0.0408,0.00365,Calm
Risky,0.176,0.6559999999999999,0.5720000000000001,159.843,0.1639999999999999,-8.21,0.0627,0.0228,Calm
break da law,0.359,0.904,0.575,141.039,0.256,-7.822999999999999,0.346,0.0493,Calm
Gook,0.31,0.6679999999999999,0.805,150.02100000000002,0.139,-4.964,0.1009999999999999,0.161,Angry
Pure Cocaine,0.107,0.964,0.487,127.05,0.115,-6.071000000000001,0.421,0.0012699999999999,Calm
Real in My Veins (feat. T-Shyne),0.233,0.635,0.632,162.023,0.0615,-8.21,0.275,0.000185,Angry
Nolia (feat. Kevin Gates),0.3979999999999999,0.813,0.483,132.954,0.0991,-8.044,0.457,0.144,Calm
ONCE UPON A TIME (FREESTYLE),0.818,0.653,0.91,182.204,0.111,-3.797,0.319,0.114,Happy
PEN,0.292,0.851,0.5589999999999999,126.02,0.108,-8.267000000000001,0.3279999999999999,0.306,Calm
What You Want,0.0626,0.8059999999999999,0.426,143.805,0.133,-8.093,0.474,0.023,Calm
Analog Keys,0.449,0.71,0.715,159.95600000000002,0.289,-7.965,0.0817,0.251,Calm
Purple Baguettes,0.391,0.7170000000000001,0.436,119.923,0.11,-8.633,0.109,0.295,Calm
Demons and Angels (feat. Juice WRLD),0.183,0.81,0.55,153.006,0.107,-7.46,0.17,0.0114,Calm
Slow Motion,0.331,0.691,0.755,179.954,0.261,-4.229,0.237,0.0563,Angry
Dem Callin' (feat. Ramriddlz),0.662,0.578,0.721,127.115,0.3289999999999999,-5.105,0.131,0.0103,Happy
RIP Luv,0.0657,0.63,0.3989999999999999,183.016,0.2339999999999999,-9.869,0.178,0.105,Sad
Story: No Title,0.0793,0.7559999999999999,0.746,207.956,0.0999,-6.397,0.142,0.236,Angry
Hurtin,0.157,0.804,0.422,187.742,0.1369999999999999,-8.788,0.35,0.0624,Calm
monster,0.2239999999999999,0.89,0.607,134.02200000000002,0.118,-6.916,0.124,0.158,Angry
Nightmare,0.127,0.7390000000000001,0.405,157.09,0.158,-10.897,0.0852,0.442,Calm
Mob Ties,0.491,0.754,0.575,172.018,0.276,-8.392999999999999,0.0682,0.045,Calm
Gucci Snake,0.216,0.7559999999999999,0.452,155.053,0.196,-8.338,0.0723,0.181,Calm
That's a Rack,0.258,0.852,0.432,140.042,0.146,-8.04,0.501,0.0599,Calm
